Smiles,h,RGroupIndex,LinkerIndex
[H]c1nc([H])c(C(=O)OC([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,29
[H]c1nc([H])c(OC(=O)C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,30
[H]c1nc([H])c(C(=O)OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,31
[H]c1nc([H])c(C([H])([H])OC(=O)C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,32
[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,33
[H]c1nc([H])c([C@]([H])(C([H])([H])[H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,34
[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,35
[H]c1nc([H])c(C2([H])C([H])([H])C([H])([H])N(C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,36
[H]c1nc([H])c(C(=O)N([H])[C@]([H])(C([H])([H])[H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,1,37
[H]c1nc([H])c([C@]([H])(N([H])C(=O)C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])[H])c([H])c1[H],6,1,38
[H]C(=Nc1c([H])nc([H])c([H])c1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],6,1,39
[H]c1nc([H])c(C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,0
[H]c1nc([H])c(C(=O)N([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,1
[H]c1nc([H])c(N([H])C(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,2
[H]c1nc([H])c(N([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,3
[H]c1nc([H])c(C(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,4
[H]c1nc([H])c(ON([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,5
[H]c1nc([H])c(OC([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,6
[H]c1nc([H])c(C([H])([H])ON([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,7
[H]c1nc([H])c(S(=O)(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,8
[H]c1nc([H])c(S(=O)(=O)N([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,9
[H]c1nc([H])c(N([H])S(=O)(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,10
[H]c1nc([H])c(N([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,11
[H]c1nc([H])c(C([H])([H])N([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,12
[H]c1nc([H])c(C(=O)N([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,13
[H]c1nc([H])c(C([H])([H])N([H])C(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,14
[H]c1nc([H])c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,15
[H]c1nc([H])c(N([H])C(=O)C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,16
[H]c1nc([H])c(C([H])([H])C(=O)N([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,17
[H]c1nc([H])c(N([H])C(=O)N([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,18
[H]c1nc([H])c(C(=O)C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,19
[H]c1nc([H])c(C([H])([H])C(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,20
[H]c1nc([H])c(-c2c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c2[H])c([H])c1[H],6,2,21
[H]c1nc([H])c(SC([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,22
[H]c1nc([H])c(C([H])([H])SN([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,23
[H]c1nc([H])c(C#CN([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,24
[H]c1nc([H])c(SN([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,25
[H]C(=C([H])N([H])C(=O)C([H])([H])[H])c1c([H])nc([H])c([H])c1[H],6,2,26
[H]c1nc([H])c([C@@]([H])(N([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,2,27
[H]c1nc([H])c(N([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,2,28
[H]c1nc([H])c(C(=O)ON([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,29
[H]c1nc([H])c(OC(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,30
[H]c1nc([H])c(C(=O)OC([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,31
[H]c1nc([H])c(C([H])([H])OC(=O)N([H])C(=O)C([H])([H])[H])c([H])c1[H],6,2,32
[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(N([H])C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,2,33
[H]c1nc([H])c([C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,2,34
[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,2,35
[H]c1nc([H])c(C2([H])C([H])([H])C([H])([H])N(N([H])C(=O)C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],6,2,36
[H]c1nc([H])c(C(=O)N([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,2,37
[H]c1nc([H])c([C@]([H])(N([H])C(=O)N([H])C(=O)C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,2,38
[H]C(=Nc1c([H])nc([H])c([H])c1[H])N([H])C(=O)C([H])([H])[H],6,2,39
[H]c1nc([H])c(C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,0
[H]c1nc([H])c(C(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,1
[H]c1nc([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,2
[H]c1nc([H])c(N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,3
[H]c1nc([H])c(C(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,4
[H]c1nc([H])c(Oc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,5
[H]c1nc([H])c(OC([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,6
[H]c1nc([H])c(C([H])([H])Oc2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,7
[H]c1nc([H])c(S(=O)(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,8
[H]c1nc([H])c(S(=O)(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,9
[H]c1nc([H])c(N([H])S(=O)(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,10
[H]c1nc([H])c(N([H])C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,11
[H]c1nc([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,12
[H]c1nc([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,13
[H]c1nc([H])c(C([H])([H])N([H])C(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,14
[H]c1nc([H])c(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,15
[H]c1nc([H])c(N([H])C(=O)C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,16
[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,17
[H]c1nc([H])c(N([H])C(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,18
[H]c1nc([H])c(C(=O)C([H])([H])c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,19
[H]c1nc([H])c(C([H])([H])C(=O)c2c([H])c([H])c([H])c(C#N)c2[H])c([H])c1[H],6,3,20
[H]c1nc([H])c(-c2c([H])c([H])c(-c3c([H])c([H])c([H])c(C#N)c3[H])c([H])c2[H])c([H])c1[H],6,3,21
